time,consumption_kw
2019-10-19 11:10:00,0.34960938
2019-10-19 12:10:00,0.33007812
2019-10-19 13:10:00,0.33984374
2019-10-19 14:10:00,0.49023438
2019-10-19 15:10:00,1.15039062
2019-10-19 16:10:00,0.51953126
2019-10-19 17:10:00,0.99023438
2019-10-19 18:10:00,1.29980468
2019-10-19 19:10:00,1.10009766
2019-10-19 20:10:00,0.97021484
2019-10-19 21:10:00,0.8696289
2019-10-19 22:10:00,0.90039064
2019-10-19 23:10:00,0.40966796
2019-10-20 00:10:00,0.36035156
2019-10-20 01:10:00,0.25976562
2019-10-20 02:10:00,0.40039064
2019-10-20 03:10:00,0.5
2019-10-20 04:10:00,0.40966796
2019-10-20 05:10:00,1.28955078
2019-10-20 06:10:00,0.85058594
2019-10-20 07:10:00,1.56933594
2019-10-20 08:10:00,0.54003906
2019-10-20 09:10:00,0.40039062
2019-10-20 10:10:00,0.43017578
2019-10-20 11:10:00,2.31982422
2019-10-20 12:10:00,2.41992188
2019-10-20 13:10:00,0.54980468
2019-10-20 14:10:00,1.6201172
2019-10-20 15:10:00,0.72998046
2019-10-20 16:10:00,0.4897461
2019-10-20 17:10:00,0.5703125
2019-10-20 18:10:00,0.46972656
2019-10-20 19:10:00,0.56054688
2019-10-20 20:10:00,0.66992188
2019-10-20 21:10:00,0.38964842
2019-10-20 22:10:00,0.3203125
2019-10-20 23:10:00,0.28027344
2019-10-21 00:10:00,0.4794922
2019-10-21 01:10:00,0.28027344
2019-10-21 02:10:00,0.29980468
2019-10-21 03:10:00,0.24023438
2019-10-21 04:10:00,0.3203125
2019-10-21 05:10:00,0.39941406
2019-10-21 06:10:00,0.33984374
2019-10-21 07:10:00,0.48046876
2019-10-21 08:10:00,0.47949218
2019-10-21 09:10:00,1.1201172
2019-10-21 10:10:00,0.5102539
2019-10-21 11:10:00,1.67041016
2019-10-21 12:10:00,0.62939452
2019-10-21 13:10:00,1.5498047
2019-10-21 14:10:00,0.65039062
2019-10-21 15:10:00,0.3798828
2019-10-21 16:10:00,0.55029298
2019-10-21 17:10:00,0.72998046
2019-10-21 18:10:00,0.62939454
2019-10-21 19:10:00,0.41064452
2019-10-21 20:10:00,0.52001954
2019-10-21 21:10:00,0.54003906
2019-10-21 22:10:00,0.45019532
2019-10-21 23:10:00,0.65917968
2019-10-22 00:10:00,0.4404297
2019-10-22 01:10:00,0.41015624
2019-10-22 02:10:00,0.38964844
2019-10-22 03:10:00,0.29980468
2019-10-22 04:10:00,0.30078126
2019-10-22 05:10:00,0.32958984
2019-10-22 06:10:00,0.6899414
2019-10-22 07:10:00,0.36035156
2019-10-22 08:10:00,0.34960938
2019-10-22 09:10:00,1.29003906
2019-10-22 10:10:00,0.59960938
2019-10-22 11:10:00,0.58007812
2019-10-22 12:10:00,0.34082032
2019-10-22 13:10:00,0.37988282
2019-10-22 14:10:00,1.0698242
2019-10-22 15:10:00,1.65966798
2019-10-22 16:10:00,2.22021484
2019-10-22 17:10:00,0.5
2019-10-22 18:10:00,0.93017578
2019-10-22 19:10:00,0.9296875
2019-10-22 20:10:00,0.97998048
2019-10-22 21:10:00,0.72998046
2019-10-22 22:10:00,0.79003906
2019-10-22 23:10:00,0.5703125
2019-10-23 00:10:00,0.2998047
2019-10-23 01:10:00,0.16015624
2019-10-23 02:10:00,0.28027344
2019-10-23 03:10:00,0.33984374
2019-10-23 04:10:00,0.58007814
2019-10-23 05:10:00,0.77929686
2019-10-23 06:10:00,0.29052736
2019-10-23 07:10:00,0.32958984
